semester,modul,modul_id,Credits,SWS,Uni,uni_id
1,bgb_at,1,,4,Bayreuth,3
1,Staatsorganisationsrecht,101,,4,Bayreuth,3
1,strafrecht_1,201,,4,Bayreuth,3
1,Bausteine des Rechts,301,,2,Bayreuth,3
1,BWL Einführung,302,,2,Bayreuth,3
1,VWL Einführung,303,,2,Bayreuth,3
1,Rechtsgeschichte,304,,2,Bayreuth,3
1,Rechts- und Staatsphilosophie Einführung,305,,2,Bayreuth,3
2,Allgemeines Schuldrecht,2,,4,Bayreuth,3
2,Recht der gesetzlichen Schuldverhältnisse,3,,2,Bayreuth,3
2,Grundrechte (früher Staatsrecht II),102,,4,Bayreuth,3
2,Grundkurs Strafrecht II (Vertiefung AT und Delikte gegen Persönlichkeits- und Gemeinschaftswerte),202,,4,Bayreuth,3
2,Allgemeine Staatslehre,306,,2,Bayreuth,3
2,Verfassungsgechichte,307,,2,Bayreuth,3
2,Rechtssoziologie,308,,2,Bayreuth,3
3,Sachenrecht,4,,4,Bayreuth,3
3,Recht der verträglichen Schuldverhältnisse,5,,4,Bayreuth,3
3,Allgemeines Verwaltungsrecht und Verwaltungsprozessrecht,103,,6,Bayreuth,3
3,Staatsrecht III: Bezüge zum Völker- und Europarecht,104,,2,Bayreuth,3
3,Grundkurs Strafrecht III (Eigentums- und Vermögensdelikte),203,,4,Bayreuth,3
4,Handelsrecht,6,,2,Bayreuth,3
4,Gesellschaftsrecht I,7,,2,Bayreuth,3
4,Arbeitsrecht,8,,2,Bayreuth,3
4,Verbraucherrecht,9,,2,Bayreuth,3
4,Familienrecht,10,,2,Bayreuth,3
4,Besonderes Verwaltungsrecht,105,,6,Bayreuth,3
4,Strafprozessrecht,204,,3,Bayreuth,3
4,Seminar,,,2,Bayreuth,3
5,Erbrecht,11,,2,Bayreuth,3
5,Zivilprozessrecht,12,,4,Bayreuth,3
5,Zivilprozessrecht Pflichtübung,13,,2,Bayreuth,3
5,Staats- und Verfassungsrecht,106,,1,Bayreuth,3
5,Europarecht,107,,4,Bayreuth,3
